                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79677,                 1.7675,                 1.2683,                 0.7079,                0.73478,                0.77574,                0.49306,                 1.2007,                 1.6214,                 1.8182,             0.00041104,             0.00041104,             0.00041104
                      2,                0.89746,                 1.0816,                 1.3175,                0.70181,                0.63366,                0.67413,                0.45097,                 1.1345,                 1.6218,                 1.7081,             0.00079493,             0.00079493,             0.00079493
                      3,                0.96687,                  1.119,                 1.3732,                0.68916,                0.59048,                0.65887,                0.42318,                 1.2871,                 1.6401,                 1.9359,              0.0011458,              0.0011458,              0.0011458
                      4,                 1.0082,                 1.1817,                 1.3996,                 0.6599,                0.63217,                0.69394,                0.45113,                 1.2024,                 1.7603,                 1.6874,              0.0011015,              0.0011015,              0.0011015
                      5,                0.94823,                 1.0411,                 1.3425,                0.59465,                0.50933,                 0.5517,                0.34828,                 1.2752,                 1.9422,                 1.7446,              0.0011015,              0.0011015,              0.0011015
                      6,                0.94413,                 1.0145,                 1.3476,                0.74035,                0.64012,                 0.7616,                 0.5357,                 1.1125,                 1.2112,                 1.5727,               0.001052,               0.001052,               0.001052
                      7,                 0.9072,                0.89317,                 1.3216,                0.80253,                0.74258,                0.83609,                0.58327,                 1.0628,                 1.0208,                 1.5324,              0.0010025,              0.0010025,              0.0010025
                      8,                0.87069,                0.87745,                 1.2899,                0.82242,                0.78417,                0.87275,                0.63989,                0.96501,                0.86107,                 1.4739,               0.000953,               0.000953,               0.000953
                      9,                0.84578,                0.83422,                 1.2753,                0.87366,                0.82592,                0.90263,                0.67337,                0.94937,                0.78333,                 1.4251,              0.0009035,              0.0009035,              0.0009035
                     10,                0.83395,                0.79715,                 1.2588,                0.86245,                0.80752,                0.88731,                0.67311,                0.89088,                0.78872,                 1.3965,               0.000854,               0.000854,               0.000854
                     11,                0.80154,                0.73913,                  1.228,                0.84695,                0.77623,                0.87408,                0.66136,                0.93668,                0.86969,                 1.4105,              0.0008045,              0.0008045,              0.0008045
                     12,                0.77203,                0.73087,                 1.2182,                0.84447,                0.83344,                0.91491,                0.69636,                0.87209,                0.74058,                 1.3629,               0.000755,               0.000755,               0.000755
                     13,                0.76072,                0.71217,                 1.2179,                0.86673,                0.83237,                 0.9069,                 0.6967,                0.87785,                 0.7422,                 1.3482,              0.0007055,              0.0007055,              0.0007055
                     14,                0.74625,                 0.6909,                 1.1942,                 0.8746,                0.84195,                0.91377,                0.70134,                0.84789,                0.67704,                 1.3332,               0.000656,               0.000656,               0.000656
                     15,                0.72222,                0.67184,                 1.1828,                0.88158,                0.86377,                0.93033,                0.72203,                0.81583,                0.66919,                 1.3036,              0.0006065,              0.0006065,              0.0006065
                     16,                0.68333,                0.62726,                 1.1944,                0.85474,                0.85074,                0.90575,                0.70253,                0.82569,                0.70444,                  1.331,               0.000557,               0.000557,               0.000557
                     17,                0.67398,                0.57058,                 1.1794,                0.87297,                0.82918,                0.91035,                0.72213,                0.78119,                0.66305,                 1.2983,              0.0005075,              0.0005075,              0.0005075
                     18,                0.65507,                0.53086,                 1.1603,                0.91979,                 0.8043,                 0.9087,                0.72007,                0.81548,                0.70817,                 1.3103,               0.000458,               0.000458,               0.000458
                     19,                 0.6246,                 0.4952,                 1.1374,                0.92608,                0.85511,                 0.9391,                0.74079,                0.78242,                0.61054,                 1.2799,              0.0004085,              0.0004085,              0.0004085
                     20,                0.59385,                0.46743,                 1.1144,                0.92466,                 0.8609,                 0.9411,                0.75459,                0.77599,                0.57391,                 1.2675,               0.000359,               0.000359,               0.000359
                     21,                0.57819,                 0.4472,                 1.0864,                0.91371,                0.86658,                0.94216,                0.76446,                0.75787,                0.54603,                  1.263,              0.0003095,              0.0003095,              0.0003095
                     22,                0.55719,                0.42136,                 1.0774,                0.87287,                0.91042,                0.94913,                0.77704,                0.74165,                0.51633,                 1.2411,                0.00026,                0.00026,                0.00026
                     23,                0.53435,                 0.3945,                 1.0478,                0.89266,                0.89098,                 0.9541,                0.78028,                0.72263,                0.52179,                 1.2325,              0.0002105,              0.0002105,              0.0002105
                     24,                0.51057,                0.38029,                 1.0307,                 0.9313,                0.89916,                 0.9592,                0.78774,                0.72322,                0.49438,                 1.2181,               0.000161,               0.000161,               0.000161
                     25,                0.50644,                0.36324,                  1.022,                 0.9308,                0.89725,                0.95601,                0.78666,                0.71433,                0.49495,                 1.2149,              0.0001115,              0.0001115,              0.0001115
